,valence
574,0.735
575,0.558
576,0.48
577,0.707
578,0.608
579,0.866
580,0.145
581,0.838
582,0.86
583,0.962
584,0.735
585,0.558
586,0.707
587,0.48
588,0.753
589,0.608
590,0.145
591,0.838
592,0.86
593,0.962
594,0.735
595,0.558
596,0.48
597,0.707
598,0.753
599,0.55
600,0.145
601,0.55
602,0.838
603,0.962
604,0.558
605,0.86
606,0.682
607,0.753
608,0.707
609,0.735
610,0.55
611,0.558
612,0.682
613,0.838
614,0.145
615,0.962
616,0.726
617,0.137
618,0.753
619,0.707
620,0.682
621,0.55
622,0.962
623,0.145
624,0.838
625,0.558
626,0.707
627,0.753
628,0.74
629,0.735
630,0.682
631,0.558
632,0.55
633,0.962
634,0.838
635,0.145
636,0.707
637,0.608
638,0.753
639,0.391
640,0.682
641,0.55
642,0.145
643,0.334
644,0.838
645,0.608
646,0.558
647,0.74
648,0.962
649,0.391
650,0.682
651,0.55
652,0.145
653,0.838
654,0.74
655,0.962
656,0.391
657,0.608
658,0.558
659,0.753
660,0.682
661,0.55
662,0.145
663,0.838
664,0.391
665,0.558
666,0.74
667,0.608
668,0.962
669,0.828
670,0.682
671,0.962
672,0.55
673,0.391
674,0.145
675,0.838
676,0.74
677,0.753
678,0.558
679,0.608
680,0.962
681,0.682
682,0.391
683,0.55
684,0.838
685,0.74
686,0.145
687,0.753
688,0.558
689,0.0834
690,0.405
691,0.962
692,0.682
693,0.55
694,0.391
695,0.838
696,0.145
697,0.74
698,0.519
699,0.0834
700,0.761
701,0.405
702,0.682
703,0.962
704,0.55
705,0.391
706,0.519
707,0.74
708,0.145
709,0.642
710,0.761
711,0.405
712,0.962
713,0.682
714,0.55
715,0.391
716,0.642
717,0.519
718,0.145
719,0.74
720,0.761
721,0.405
722,0.682
723,0.962
724,0.55
725,0.642
726,0.391
727,0.519
728,0.505
729,0.464
730,0.761
731,0.815
732,0.405
733,0.464
734,0.962
735,0.505
736,0.682
737,0.55
738,0.642
739,0.519
740,0.761
741,0.464
742,0.815
743,0.405
744,0.609
745,0.505
746,0.682
747,0.642
748,0.519
749,0.962
750,0.761
751,0.505
752,0.815
753,0.609
754,0.682
755,0.405
756,0.642
757,0.786
758,0.519
759,0.464
760,0.505
761,0.955
762,0.761
763,0.743
764,0.776
765,0.405
766,0.786
767,0.815
768,0.519
769,0.682
770,0.529
771,0.776
772,0.866
773,0.916
774,0.761
775,0.786
776,0.405
777,0.505
778,0.519
779,0.872
780,0.776
781,0.866
782,0.916
783,0.529
784,0.786
785,0.405
786,0.761
787,0.505
788,0.519
789,0.872
790,0.513
791,0.553
792,0.556
793,0.884
794,0.0978
795,0.442
796,0.749
797,0.43
798,0.281
799,0.679
800,0.513
801,0.556
802,0.442
803,0.884
804,0.553
805,0.0978
806,0.43
807,0.749
808,0.679
809,0.281
810,0.513
811,0.556
812,0.553
813,0.457
814,0.884
815,0.243
816,0.679
817,0.749
818,0.43
819,0.0978
820,0.513
821,0.556
822,0.679
823,0.457
824,0.553
825,0.884
826,0.281
827,0.749
828,0.43
829,0.0978
830,0.513
831,0.457
832,0.679
833,0.556
834,0.553
835,0.884
836,0.281
837,0.243
838,0.749
839,0.442
840,0.513
841,0.556
842,0.553
843,0.679
844,0.884
845,0.457
846,0.281
847,0.442
848,0.243
849,0.749
850,0.513
851,0.556
852,0.679
853,0.553
854,0.457
855,0.884
856,0.281
857,0.569
858,0.749
859,0.35
860,0.35
861,0.556
862,0.513
863,0.679
864,0.553
865,0.884
866,0.457
867,0.281
868,0.749
869,0.832
870,0.513
871,0.679
872,0.553
873,0.556
874,0.457
875,0.884
876,0.281
877,0.749
878,0.562
879,0.478
880,0.513
881,0.281
882,0.556
883,0.679
884,0.553
885,0.884
886,0.494
887,0.457
888,0.334
889,0.749
890,0.513
891,0.556
892,0.679
893,0.494
894,0.553
895,0.884
896,0.281
897,0.334
898,0.457
899,0.569
900,0.556
901,0.513
902,0.679
903,0.494
904,0.829
905,0.553
906,0.334
907,0.884
908,0.281
909,0.642
910,0.513
911,0.556
912,0.334
913,0.679
914,0.562
915,0.553
916,0.494
917,0.281
918,0.884
919,0.243
920,0.334
921,0.513
922,0.679
923,0.553
924,0.556
925,0.562
926,0.494
927,0.281
928,0.884
929,0.529
930,0.334
931,0.513
932,0.679
933,0.183
934,0.553
935,0.556
936,0.281
937,0.529
938,0.884
939,0.562
940,0.334
941,0.513
942,0.679
943,0.874
944,0.183
945,0.553
946,0.0517
947,0.556
948,0.281
949,0.569
950,0.334
951,0.679
952,0.513
953,0.874
954,0.553
955,0.183
956,0.569
957,0.529
958,0.884
959,0.556
960,0.334
961,0.679
962,0.874
963,0.513
964,0.553
965,0.183
966,0.569
967,0.784
968,0.884
969,0.779
970,0.334
971,0.679
972,0.874
973,0.553
974,0.513
975,0.569
976,0.183
977,0.779
978,0.324
979,0.884
980,0.334
981,0.679
982,0.874
983,0.553
984,0.569
985,0.513
986,0.779
987,0.183
988,0.884
989,0.556
990,0.334
991,0.679
992,0.874
993,0.513
994,0.569
995,0.863
996,0.553
997,0.183
998,0.779
999,0.717
1000,0.863
1001,0.679
1002,0.874
1003,0.513
1004,0.334
1005,0.354
1006,0.569
1007,0.553
1008,0.779
1009,0.183
1010,0.863
1011,0.679
1012,0.513
1013,0.334
1014,0.874
1015,0.779
1016,0.569
1017,0.354
1018,0.837
1019,0.661
1020,0.837
1021,0.679
1022,0.334
1023,0.513
1024,0.874
1025,0.863
1026,0.569
1027,0.354
1028,0.661
1029,0.779
1030,0.863
1031,0.679
1032,0.334
1033,0.513
1034,0.874
1035,0.837
1036,0.354
1037,0.569
1038,0.661
1039,0.779
1040,0.863
1041,0.334
1042,0.679
1043,0.513
1044,0.874
1045,0.837
1046,0.28
1047,0.569
1048,0.661
1049,0.779
1050,0.863
1051,0.334
1052,0.513
1053,0.874
1054,0.837
1055,0.679
1056,0.661
1057,0.354
1058,0.569
1059,0.28
1060,0.863
1061,0.537
1062,0.393
1063,0.334
1064,0.354
1065,0.679
1066,0.874
1067,0.837
1068,0.661
1069,0.513
1070,0.497
1071,0.334
1072,0.537
1073,0.393
1074,0.874
1075,0.863
1076,0.354
1077,0.661
1078,0.679
1079,0.569
1080,0.646
1081,0.497
1082,0.334
1083,0.874
1084,0.537
1085,0.679
1086,0.863
1087,0.354
1088,0.513
1089,0.557
1090,0.646
1091,0.497
1092,0.334
1093,0.679
1094,0.905
1095,0.537
1096,0.863
1097,0.354
1098,0.874
1099,0.784
1100,0.497
1101,0.646
1102,0.334
1103,0.874
1104,0.905
1105,0.863
1106,0.354
1107,0.679
1108,0.537
1109,0.513
1110,0.497
1111,0.646
1112,0.905
1113,0.334
1114,0.874
1115,0.863
1116,0.354
1117,0.493
1118,0.557
1119,0.679
1120,0.497
1121,0.905
1122,0.761
1123,0.646
1124,0.334
1125,0.354
1126,0.863
1127,0.557
1128,0.874
1129,0.537
1130,0.761
1131,0.905
1132,0.497
1133,0.557
1134,0.334
1135,0.344
1136,0.646
1137,0.354
1138,0.863
1139,0.874
1140,0.497
1141,0.761
1142,0.863
1143,0.905
1144,0.557
1145,0.334
1146,0.646
1147,0.874
1148,0.537
1149,0.354
1150,0.497
1151,0.761
1152,0.905
1153,0.557
1154,0.334
1155,0.354
1156,0.646
1157,0.863
1158,0.874
1159,0.537
1160,0.761
1161,0.497
1162,0.905
1163,0.646
1164,0.334
1165,0.557
1166,0.354
1167,0.581
1168,0.863
1169,0.537
1170,0.551
1171,0.761
1172,0.497
1173,0.905
1174,0.152
1175,0.557
1176,0.172
1177,0.334
1178,0.646
1179,0.354
1180,0.761
1181,0.905
1182,0.497
1183,0.557
1184,0.551
1185,0.334
1186,0.646
1187,0.0875
1188,0.354
1189,0.581
1190,0.357
1191,0.761
1192,0.905
1193,0.497
1194,0.551
1195,0.269
1196,0.557
1197,0.905
1198,0.646
1199,0.637
1200,0.357
1201,0.905
1202,0.522
1203,0.761
1204,0.905
1205,0.646
1206,0.557
1207,0.551
1208,0.354
1209,0.334
1210,0.357
1211,0.905
1212,0.905
1213,0.761
1214,0.737
1215,0.522
1216,0.497
1217,0.732
1218,0.557
1219,0.646
1220,0.357
1221,0.732
1222,0.905
1223,0.905
1224,0.761
1225,0.646
1226,0.497
1227,0.737
1228,0.334
1229,0.557
1230,0.357
1231,0.732
1232,0.905
1233,0.905
1234,0.761
1235,0.232
1236,0.646
1237,0.737
1238,0.497
1239,0.557
1240,0.357
1241,0.905
1242,0.732
1243,0.905
1244,0.761
1245,0.557
1246,0.232
1247,0.497
1248,0.646
1249,0.753
1250,0.357
1251,0.732
1252,0.905
1253,0.372
1254,0.905
1255,0.761
1256,0.232
1257,0.594
1258,0.646
1259,0.753
1260,0.732
1261,0.357
1262,0.905
1263,0.372
1264,0.753
1265,0.905
1266,0.232
1267,0.761
1268,0.497
1269,0.594
1270,0.732
1271,0.905
1272,0.357
1273,0.372
1274,0.753
1275,0.905
1276,0.448
1277,0.232
1278,0.0823
1279,0.737
1280,0.732
1281,0.357
1282,0.905
1283,0.372
1284,0.753
1285,0.905
1286,0.232
1287,0.0823
1288,0.594
1289,0.737
1290,0.732
1291,0.905
1292,0.357
1293,0.372
1294,0.753
1295,0.0823
1296,0.905
1297,0.737
1298,0.594
1299,0.232
1300,0.732
1301,0.682
1302,0.905
1303,0.372
1304,0.357
1305,0.753
1306,0.0823
1307,0.594
1308,0.737
1309,0.905
1310,0.682
1311,0.732
1312,0.905
1313,0.372
1314,0.357
1315,0.753
1316,0.0823
1317,0.594
1318,0.737
1319,0.905
1320,0.682
1321,0.905
1322,0.732
1323,0.372
1324,0.0823
1325,0.753
1326,0.357
1327,0.594
1328,0.737
1329,0.905
1330,0.682
1331,0.716
1332,0.732
1333,0.905
1334,0.372
1335,0.753
1336,0.0823
1337,0.737
1338,0.594
1339,0.357
1340,0.905
1341,0.682
1342,0.732
1343,0.372
1344,0.692
1345,0.753
1346,0.716
1347,0.0823
1348,0.915
1349,0.387
1350,0.905
1351,0.732
1352,0.682
1353,0.372
1354,0.737
1355,0.716
1356,0.0823
1357,0.915
1358,0.753
1359,0.692
1360,0.732
1361,0.905
1362,0.35
1363,0.682
1364,0.753
1365,0.303
1366,0.716
1367,0.372
1368,0.737
1369,0.915
1370,0.529
1371,0.732
1372,0.682
1373,0.905
1374,0.372
1375,0.716
1376,0.467
1377,0.753
1378,0.915
1379,0.303
1380,0.35
1381,0.732
1382,0.905
1383,0.682
1384,0.832
1385,0.735
1386,0.372
1387,0.716
1388,0.303
1389,0.915
1390,0.732
1391,0.905
1392,0.584
1393,0.682
1394,0.467
1395,0.735
1396,0.915
1397,0.372
1398,0.303
1399,0.753
1400,0.137
1401,0.905
1402,0.732
1403,0.735
1404,0.682
1405,0.467
1406,0.915
1407,0.584
1408,0.303
1409,0.716
1410,0.137
1411,0.732
1412,0.905
1413,0.467
1414,0.682
1415,0.735
1416,0.915
1417,0.0823
1418,0.584
1419,0.372
1420,0.137
1421,0.732
1422,0.531
1423,0.735
1424,0.467
1425,0.905
1426,0.682
1427,0.915
1428,0.716
1429,0.303
1430,0.137
1431,0.467
1432,0.732
1433,0.531
1434,0.735
1435,0.905
1436,0.915
1437,0.682
1438,0.0823
1439,0.584
1440,0.137
1441,0.467
1442,0.531
1443,0.732
1444,0.735
1445,0.905
1446,0.644
1447,0.915
1448,0.682
1449,0.0823
1450,0.137
1451,0.531
1452,0.905
1453,0.467
1454,0.732
1455,0.735
1456,0.644
1457,0.202
1458,0.485
1459,0.0823
1460,0.531
1461,0.137
1462,0.467
1463,0.202
1464,0.905
1465,0.732
1466,0.735
1467,0.235
1468,0.915
1469,0.0823
1470,0.531
1471,0.137
1472,0.235
1473,0.905
1474,0.735
1475,0.467
1476,0.732
1477,0.202
1478,0.314
1479,0.915
1480,0.531
1481,0.137
1482,0.719
1483,0.235
1484,0.467
1485,0.735
1486,0.905
1487,0.732
1488,0.202
1489,0.314
1490,0.531
1491,0.137
1492,0.467
1493,0.235
1494,0.314
1495,0.735
1496,0.732
1497,0.167
1498,0.719
1499,0.905
1500,0.464
1501,0.531
1502,0.314
1503,0.137
1504,0.467
1505,0.235
1506,0.167
1507,0.732
1508,0.905
1509,0.735
1510,0.464
1511,0.314
1512,0.235
1513,0.467
1514,0.71
1515,0.137
1516,0.531
1517,0.644
1518,0.472
1519,0.719
1520,0.464
1521,0.531
1522,0.71
1523,0.314
1524,0.467
1525,0.235
1526,0.137
1527,0.644
1528,0.801
1529,0.719
1530,0.464
1531,0.71
1532,0.531
1533,0.314
1534,0.235
1535,0.467
1536,0.437
1537,0.281
1538,0.644
1539,0.719
1540,0.464
1541,0.71
1542,0.531
1543,0.314
1544,0.235
1545,0.437
1546,0.915
1547,0.281
1548,0.467
1549,0.517
1550,0.464
1551,0.593
1552,0.531
1553,0.314
1554,0.71
1555,0.781
1556,0.235
1557,0.281
1558,0.517
1559,0.915
1560,0.781
1561,0.208
1562,0.531
1563,0.464
1564,0.314
1565,0.71
1566,0.593
1567,0.281
1568,0.235
1569,0.801
1570,0.73
1571,0.781
1572,0.71
1573,0.464
1574,0.593
1575,0.314
1576,0.235
1577,0.801
1578,0.915
1579,0.281
1580,0.513
1581,0.279
1582,0.0969
1583,0.0978
1584,0.341
1585,0.944
1586,0.448
1587,0.112
1588,0.461
1589,0.749
1590,0.513
1591,0.279
1592,0.0969
1593,0.0978
1594,0.341
1595,0.496
1596,0.461
1597,0.112
1598,0.944
1599,0.749
1600,0.513
1601,0.279
1602,0.435
1603,0.0978
1604,0.243
1605,0.0969
1606,0.112
1607,0.341
1608,0.461
1609,0.553
1610,0.513
1611,0.279
1612,0.435
1613,0.0978
1614,0.341
1615,0.243
1616,0.0969
1617,0.553
1618,0.461
1619,0.556
1620,0.513
1621,0.672
1622,0.624
1623,0.279
1624,0.35
1625,0.0978
1626,0.749
1627,0.556
1628,0.679
1629,0.341
1630,0.393
1631,0.513
1632,0.845
1633,0.279
1634,0.624
1635,0.35
1636,0.553
1637,0.556
1638,0.679
1639,0.765
1640,0.279
1641,0.513
1642,0.35
1643,0.393
1644,0.624
1645,0.845
1646,0.679
1647,0.556
1648,0.884
1649,0.832
1650,0.35
1651,0.279
1652,0.513
1653,0.539
1654,0.52
1655,0.393
1656,0.366
1657,0.884
1658,0.679
1659,0.765
1660,0.279
1661,0.513
1662,0.679
1663,0.884
1664,0.173
1665,0.393
1666,0.556
1667,0.435
1668,0.562
1669,0.624
1670,0.201
1671,0.513
1672,0.279
1673,0.679
1674,0.494
1675,0.884
1676,0.556
1677,0.393
1678,0.0978
1679,0.173
1680,0.279
1681,0.513
1682,0.283
1683,0.679
1684,0.884
1685,0.641
1686,0.201
1687,0.556
1688,0.0978
1689,0.43
1690,0.629
1691,0.513
1692,0.464
1693,0.279
1694,0.679
1695,0.884
1696,0.556
1697,0.334
1698,0.283
1699,0.643
1700,0.629
1701,0.457
1702,0.556
1703,0.234
1704,0.513
1705,0.884
1706,0.279
1707,0.334
1708,0.679
1709,0.243
1710,0.46
1711,0.556
1712,0.179
1713,0.513
1714,0.334
1715,0.629
1716,0.884
1717,0.457
1718,0.279
1719,0.679
1720,0.46
1721,-1.0
1722,0.556
1723,0.513
1724,0.334
1725,0.884
1726,0.279
1727,0.679
1728,0.629
1729,0.179
1730,0.354
1731,0.334
1732,0.46
1733,0.556
1734,0.404
1735,0.0517
1736,0.884
1737,-1.0
1738,0.513
1739,0.679
1740,0.334
1741,0.694
1742,0.354
1743,0.513
1744,0.279
1745,0.46
1746,0.449
1747,0.461
1748,0.884
1749,0.183
1750,0.604
1751,0.334
1752,0.461
1753,0.905
1754,0.279
1755,0.513
1756,0.556
1757,0.593
1758,0.511
1759,0.679
1760,0.559
1761,0.334
1762,0.905
1763,0.803
1764,0.513
1765,0.461
1766,0.604
1767,0.279
1768,0.733
1769,0.679
1770,0.334
1771,0.513
1772,0.461
1773,0.559
1774,0.905
1775,0.0384
1776,0.183
1777,0.679
1778,0.279
1779,0.884
1780,0.334
1781,0.461
1782,0.513
1783,0.905
1784,0.58
1785,0.679
1786,0.559
1787,0.884
1788,0.183
1789,0.322
1790,0.563
1791,0.334
1792,0.461
1793,0.905
1794,0.513
1795,0.322
1796,0.679
1797,0.556
1798,0.884
1799,0.183
1800,0.461
1801,0.513
1802,0.334
1803,0.905
1804,0.837
1805,0.563
1806,0.322
1807,0.679
1808,0.884
1809,0.919
1810,0.692
1811,0.461
1812,0.837
1813,0.322
1814,0.905
1815,0.513
1816,0.567
1817,0.334
1818,0.563
1819,0.679
1820,0.837
1821,0.322
1822,0.496
1823,0.334
1824,0.461
1825,0.905
1826,0.513
1827,0.884
1828,0.692
1829,0.567
1830,0.745
1831,0.163
1832,0.322
1833,0.461
1834,0.905
1835,0.334
1836,0.705
1837,0.28
1838,0.513
1839,0.837
1840,0.705
1841,0.461
1842,0.322
1843,0.905
1844,0.334
1845,0.745
1846,0.163
1847,0.407
1848,0.513
1849,0.863
1850,0.961
1851,0.393
1852,0.322
1853,0.705
1854,0.905
1855,0.461
1856,0.334
1857,0.745
1858,0.513
1859,0.537
1860,0.393
1861,0.961
1862,0.461
1863,0.705
1864,0.322
1865,0.905
1866,0.334
1867,0.863
1868,0.884
1869,0.496
1870,0.589
1871,0.0432
1872,0.461
1873,0.905
1874,0.322
1875,0.393
1876,0.961
1877,0.646
1878,0.705
1879,0.334
1880,0.589
1881,0.43
1882,0.322
1883,0.838
1884,0.905
1885,0.461
1886,0.372
1887,0.5
1888,0.393
1889,0.961
1890,0.497
1891,0.322
1892,0.862
1893,0.393
1894,0.162
1895,0.43
1896,0.461
1897,0.905
1898,0.334
1899,0.589
1900,0.497
1901,0.493
1902,0.322
1903,0.905
1904,0.393
1905,0.43
1906,0.334
1907,0.863
1908,0.272
1909,0.589
1910,0.574
1911,0.609
1912,0.282
1913,0.761
1914,0.905
1915,0.43
1916,0.334
1917,0.457
1918,0.461
1919,0.863
1920,0.548
1921,0.761
1922,0.609
1923,0.574
1924,0.304
1925,0.457
1926,0.334
1927,0.497
1928,0.17
1929,0.905
1930,0.212
1931,0.761
1932,0.17
1933,0.461
1934,0.497
1935,0.457
1936,0.863
1937,0.643
1938,0.304
1939,0.334
1940,0.17
1941,0.212
1942,0.761
1943,0.461
1944,0.379
1945,0.497
1946,0.662
1947,0.926
1948,0.643
1949,0.905
1950,0.17
1951,0.761
1952,0.129
1953,0.212
1954,0.926
1955,0.662
1956,0.497
1957,0.905
1958,0.9
1959,0.643
1960,0.761
1961,0.926
1962,0.17
1963,0.55
1964,0.662
1965,0.711
1966,0.328
1967,0.212
1968,0.489
1969,0.497
1970,0.17
1971,0.182
1972,0.926
1973,0.761
1974,0.662
1975,0.212
1976,0.905
1977,0.55
1978,0.643
1979,0.497
1980,0.17
1981,0.761
1982,0.905
1983,0.182
1984,0.662
1985,0.643
1986,0.581
1987,0.926
1988,0.212
1989,0.602
1990,0.17
1991,0.761
1992,0.926
1993,0.662
1994,0.643
1995,0.891
1996,0.557
1997,0.182
1998,0.212
1999,0.89
2000,0.577
2001,0.17
2002,0.662
2003,0.761
2004,0.926
2005,0.557
2006,0.89
2007,0.643
2008,0.569
2009,0.357
2010,0.17
2011,0.732
2012,0.662
2013,0.577
2014,0.761
2015,0.89
2016,0.643
2017,0.926
2018,0.357
2019,0.557
2020,0.732
2021,0.17
2022,0.237
2023,0.926
2024,0.89
2025,0.662
2026,0.577
2027,0.761
2028,0.357
2029,0.836
2030,0.732
2031,0.17
2032,0.662
2033,0.237
2034,0.254
2035,0.89
2036,0.156
2037,0.577
2038,0.372
2039,0.761
2040,0.732
2041,0.541
2042,0.89
2043,0.17
2044,0.577
2045,0.462
2046,0.662
2047,0.905
2048,0.237
2049,0.212
2050,0.732
2051,0.17
2052,0.89
2053,0.69
2054,0.462
2055,0.154
2056,0.212
2057,0.905
2058,0.662
2059,0.753
2060,0.732
2061,0.17
2062,0.338
2063,0.643
2064,0.89
2065,0.69
2066,0.905
2067,0.462
2068,0.212
2069,0.662
2070,0.732
2071,0.17
2072,0.89
2073,0.905
2074,0.212
2075,0.462
2076,0.753
2077,0.69
2078,0.6
2079,0.232
2080,0.732
2081,0.89
2082,0.17
2083,0.905
2084,0.6
2085,0.212
2086,0.462
2087,0.658
2088,0.753
2089,0.215
2090,0.314
2091,0.89
2092,0.732
2093,0.17
2094,0.905
2095,0.212
2096,0.682
2097,0.753
2098,0.6
2099,0.462
2100,0.314
2101,0.509
2102,0.905
2103,0.732
2104,0.595
2105,0.17
2106,0.6
2107,0.662
2108,0.89
2109,0.56
2110,0.314
2111,0.732
2112,0.56
2113,0.905
2114,0.232
2115,0.17
2116,0.6
2117,0.89
2118,0.212
2119,0.812
2120,0.716
2121,0.732
2122,0.56
2123,0.89
2124,0.905
2125,0.314
2126,0.654
2127,0.17
2128,0.6
2129,0.753
2130,0.35
2131,0.692
2132,0.732
2133,0.89
2134,0.905
2135,0.716
